iter	MultiClass
0	1.063424483
1	1.032636761
2	1.005206382
3	0.9826628005
4	0.9638686918
5	0.9481208524
6	0.9299379475
7	0.9169202423
8	0.9044670063
9	0.8933913787
10	0.8839079832
11	0.872152055
12	0.8623190174
13	0.8533422775
14	0.842132561
15	0.8354433855
16	0.8289720912
17	0.8215533461
18	0.8141015525
19	0.8075382306
20	0.800317459
21	0.7927158069
22	0.7875441347
23	0.7822080509
24	0.7768801831
25	0.770616755
26	0.7645371626
27	0.7592069993
28	0.7547318923
29	0.7509247944
30	0.746356851
31	0.7434902847
32	0.7385077875
33	0.7326156917
34	0.729270914
35	0.7262378361
36	0.7219646711
37	0.7200360242
38	0.7168552145
39	0.7127131341
40	0.7094364467
41	0.7064297548
42	0.7038514441
43	0.7015792669
44	0.6998349345
45	0.69722907
46	0.6933205191
47	0.6890590888
48	0.6862233174
49	0.684488804
50	0.681336061
51	0.6788693845
52	0.6761100669
53	0.6741112626
54	0.6693119599
55	0.6661670885
56	0.662931184
57	0.6617179399
58	0.6598317015
59	0.6577145125
60	0.6564353492
61	0.6555605174
62	0.6535294622
63	0.6516851728
64	0.6489652068
65	0.6457110117
66	0.6422328387
67	0.6401365346
68	0.6378242644
69	0.6346436534
70	0.6314819102
71	0.6296120578
72	0.628581809
73	0.6267799327
74	0.624268616
75	0.6231225218
76	0.6202599138
77	0.619260551
78	0.6173539929
79	0.6159120525
80	0.6138185106
81	0.6120070975
82	0.6096247847
83	0.6076108813
84	0.6061897764
85	0.6046908222
86	0.6032266457
87	0.6009769407
88	0.5994644345
89	0.5974216122
90	0.5946589437
91	0.5919795401
92	0.5890964996
93	0.5876242574
94	0.5869662097
95	0.5840835088
96	0.5821349882
97	0.580151916
98	0.5789246163
99	0.5778651849
100	0.575178791
101	0.5727685963
102	0.5707550419
103	0.5682857224
104	0.5661945276
105	0.5646028513
106	0.5625378634
107	0.5614068361
108	0.5591716392
109	0.5571069575
110	0.5547400527
111	0.5526449759
112	0.5511606454
113	0.5492425201
114	0.548109506
115	0.5453005475
116	0.5427489841
117	0.5409820104
118	0.5390615343
119	0.5362997669
120	0.5339724679
121	0.5321613641
122	0.530625913
123	0.5288899965
124	0.5268835456
125	0.5252987548
126	0.5244588653
127	0.5222941659
128	0.5210393048
129	0.5184363855
130	0.5168244818
131	0.5146112746
132	0.513085394
133	0.5113118055
134	0.5100827611
135	0.508951437
136	0.507322683
137	0.5054181401
138	0.5040594007
139	0.5027474913
140	0.4999116213
141	0.4988195697
142	0.4980204428
143	0.49508565
144	0.4937185756
145	0.4922438868
146	0.49066368
147	0.4896328483
148	0.4883658125
149	0.4868283662
150	0.4852646145
151	0.4844352238
152	0.4832219551
153	0.4821610272
154	0.4811719597
155	0.4799164053
156	0.4790911254
157	0.4772830867
158	0.4765115716
159	0.4751913653
160	0.4741849404
161	0.4727360117
162	0.4712442083
163	0.470861222
164	0.4676974913
165	0.4672103491
166	0.4659227023
167	0.4638741492
168	0.4620892712
169	0.4608885809
170	0.4594210277
171	0.4578187009
172	0.4564637775
173	0.4544587097
174	0.4531088044
175	0.451335043
176	0.4505183727
177	0.4491352462
178	0.447913357
179	0.4467900509
180	0.4460390955
181	0.4450275047
182	0.4438005391
183	0.4426834294
184	0.4418997207
185	0.4405299658
186	0.4398904403
187	0.4392224441
188	0.4379256905
189	0.4362207313
190	0.4358124196
191	0.4349060345
192	0.4333694266
193	0.4318405717
194	0.4304397185
195	0.4296919828
196	0.4280220218
197	0.4273902885
198	0.4263142024
199	0.4246792045
200	0.4239830249
201	0.4233209096
202	0.4228570571
203	0.4217190039
204	0.4208503005
205	0.4193125308
206	0.4183053476
207	0.4168065518
208	0.4153100752
209	0.4145501158
210	0.4132072042
211	0.4122854704
212	0.4115260951
213	0.4106177528
214	0.4091245691
215	0.4082828465
216	0.4068908239
217	0.4060676358
218	0.4053888502
219	0.4047342591
220	0.404257374
221	0.4035136078
222	0.4030817955
223	0.4020555124
224	0.4003418462
225	0.3992005554
226	0.3986173173
227	0.3972073325
228	0.3959559052
229	0.3949640958
230	0.3938747624
231	0.3927619356
232	0.3915107971
233	0.3904693289
234	0.3899840867
235	0.3893417704
236	0.3887722295
237	0.3880187662
238	0.3869481428
239	0.3858746052
240	0.3847033237
241	0.3840904624
242	0.383432346
243	0.3826230519
244	0.3818551363
245	0.3806526369
246	0.3799340658
247	0.3794070969
248	0.3788149651
249	0.3781490132
250	0.3774155389
251	0.3764520832
252	0.375437098
253	0.3744479675
254	0.373512221
255	0.372689835
