iter	Passed	Remaining
0	12	6318
1	24	6157
2	35	5940
3	67	8415
4	93	9298
5	117	9652
6	141	10000
7	162	10023
8	188	10296
9	214	10505
10	233	10375
11	249	10130
12	261	9798
13	300	10432
14	315	10187
15	327	9914
16	339	9654
17	352	9439
18	364	9222
19	375	9017
20	386	8812
21	398	8659
22	410	8511
23	423	8399
24	434	8264
25	446	8143
26	457	8013
27	468	7890
28	479	7787
29	490	7678
30	500	7577
31	510	7471
32	521	7383
33	532	7299
34	542	7213
35	552	7124
36	563	7049
37	573	6970
38	582	6887
39	591	6806
40	602	6739
41	612	6674
42	622	6614
43	632	6555
44	643	6507
45	654	6464
46	664	6406
47	675	6363
48	686	6320
49	698	6282
50	708	6236
51	718	6190
52	729	6153
53	740	6116
54	750	6073
55	760	6033
56	771	5992
57	781	5957
58	793	5929
59	804	5902
60	815	5866
61	825	5835
62	837	5809
63	848	5782
64	859	5754
65	871	5729
66	882	5703
67	893	5673
68	903	5643
69	913	5613
70	923	5581
71	933	5551
72	944	5522
73	954	5493
74	965	5470
75	975	5444
76	986	5419
77	996	5391
78	1006	5364
79	1017	5340
80	1026	5312
81	1037	5286
82	1048	5266
83	1058	5240
84	1068	5215
85	1077	5189
86	1087	5164
87	1098	5144
88	1108	5119
89	1118	5096
90	1128	5074
91	1137	5045
92	1147	5023
93	1158	5004
94	1169	4986
95	1180	4969
96	1190	4947
97	1201	4927
98	1211	4906
99	1221	4886
100	1232	4867
101	1242	4847
102	1254	4836
103	1265	4818
104	1276	4800
105	1285	4780
106	1297	4764
107	1306	4743
108	1316	4724
109	1327	4704
110	1337	4687
111	1347	4669
112	1357	4649
113	1366	4625
114	1377	4610
115	1387	4594
116	1398	4577
117	1408	4560
118	1419	4543
119	1429	4526
120	1439	4509
121	1450	4493
122	1461	4479
123	1472	4465
124	1484	4454
125	1496	4443
126	1506	4425
127	1518	4411
128	1527	4394
129	1538	4377
130	1548	4361
131	1559	4347
132	1569	4330
133	1579	4313
134	1589	4296
135	1599	4280
136	1609	4264
137	1620	4251
138	1630	4235
139	1641	4220
140	1653	4210
141	1664	4196
142	1675	4182
143	1686	4170
144	1698	4158
145	1709	4144
146	1719	4128
147	1729	4112
148	1739	4098
149	1751	4086
150	1762	4072
151	1773	4059
152	1784	4047
153	1795	4033
154	1807	4023
155	1817	4007
156	1827	3992
157	1838	3979
158	1849	3967
159	1859	3950
160	1868	3934
161	1878	3918
162	1887	3903
163	1897	3888
164	1909	3877
165	1918	3860
166	1927	3843
167	1938	3830
168	1948	3816
169	1957	3800
170	1967	3784
171	1977	3771
172	1987	3757
173	1997	3741
174	2007	3727
175	2017	3713
176	2026	3698
177	2038	3686
178	2048	3672
179	2059	3660
180	2069	3647
181	2080	3635
182	2091	3622
183	2102	3610
184	2111	3595
185	2121	3581
186	2132	3569
187	2142	3556
188	2153	3543
189	2165	3532
190	2176	3520
191	2186	3508
192	2197	3495
193	2208	3484
194	2221	3473
195	2232	3461
196	2244	3451
197	2254	3439
198	2265	3427
199	2276	3414
200	2286	3400
201	2296	3388
202	2307	3375
203	2318	3364
204	2328	3351
205	2338	3338
206	2350	3327
207	2360	3314
208	2370	3300
209	2380	3286
210	2390	3273
211	2402	3263
212	2413	3252
213	2425	3241
214	2437	3230
215	2448	3219
216	2460	3208
217	2471	3197
218	2482	3185
219	2493	3173
220	2504	3161
221	2516	3151
222	2527	3139
223	2538	3128
224	2549	3116
225	2561	3105
226	2572	3094
227	2582	3080
228	2592	3067
229	2601	3054
230	2612	3042
231	2623	3030
232	2634	3018
233	2644	3005
234	2654	2993
235	2664	2981
236	2675	2968
237	2685	2956
238	2695	2944
239	2704	2930
240	2715	2918
241	2726	2907
242	2739	2896
243	2750	2885
244	2764	2877
245	2776	2866
246	2790	2857
247	2805	2850
248	2823	2845
249	2835	2835
250	2847	2824
251	2857	2812
252	2868	2800
253	2877	2786
254	2888	2774
255	2897	2762
256	2907	2749
257	2917	2736
258	2928	2725
259	2940	2713
260	2950	2701
261	2962	2690
262	2973	2679
263	2987	2670
264	2998	2659
265	3011	2648
266	3022	2637
267	3033	2625
268	3044	2614
269	3056	2603
270	3066	2591
271	3077	2579
272	3089	2568
273	3100	2557
274	3111	2545
275	3122	2534
276	3134	2523
277	3146	2512
278	3159	2502
279	3171	2491
280	3182	2480
281	3194	2469
282	3207	2459
283	3219	2448
284	3231	2437
285	3244	2427
286	3256	2417
287	3268	2406
288	3280	2394
289	3292	2384
290	3305	2373
291	3316	2362
292	3327	2350
293	3338	2339
294	3349	2327
295	3359	2315
296	3370	2303
297	3381	2292
298	3392	2280
299	3404	2269
300	3414	2257
301	3424	2245
302	3435	2233
303	3447	2222
304	3457	2210
305	3468	2199
306	3480	2187
307	3489	2175
308	3499	2163
309	3509	2151
310	3519	2138
311	3529	2126
312	3538	2113
313	3547	2101
314	3558	2090
315	3569	2078
316	3579	2066
317	3589	2054
318	3599	2042
319	3609	2030
320	3619	2018
321	3631	2007
322	3643	1996
323	3654	1985
324	3663	1972
325	3673	1960
326	3682	1948
327	3693	1936
328	3702	1924
329	3711	1912
330	3720	1899
331	3729	1887
332	3739	1875
333	3748	1863
334	3759	1851
335	3769	1839
336	3779	1827
337	3790	1816
338	3800	1804
339	3810	1793
340	3820	1781
341	3828	1768
342	3839	1757
343	3850	1746
344	3861	1734
345	3872	1723
346	3882	1711
347	3894	1700
348	3904	1689
349	3914	1677
350	3926	1666
351	3937	1655
352	3948	1644
353	3958	1632
354	3972	1622
355	3982	1610
356	3992	1599
357	4005	1588
358	4017	1577
359	4028	1566
360	4038	1554
361	4052	1544
362	4065	1534
363	4075	1522
364	4085	1511
365	4095	1499
366	4105	1487
367	4115	1476
368	4124	1464
369	4133	1452
370	4142	1440
371	4151	1428
372	4162	1417
373	4171	1405
374	4181	1393
375	4190	1381
376	4199	1370
377	4208	1358
378	4217	1346
379	4227	1334
380	4237	1323
381	4246	1311
382	4256	1300
383	4265	1288
384	4274	1276
385	4283	1265
386	4293	1253
387	4304	1242
388	4314	1231
389	4324	1219
390	4332	1207
391	4342	1196
392	4351	1184
393	4360	1173
394	4369	1161
395	4378	1150
396	4387	1138
397	4397	1126
398	4406	1115
399	4415	1103
400	4426	1092
401	4437	1081
402	4447	1070
403	4457	1059
